,시군구코드,시군구명,주요역,대분류,중분류,기준연도,문화시설별ID,대분류명,중분류명,시설명,시설위도,시설경도,주요역위도,주요역경도,시설_placeid
878,11140,중구,서울,시니어,온누리상품권,2020,SOT056567,가맹점,남대문시장,안성상회,37.5596329,126.9776649,37.55407301,126.9707021,ChIJeyGhAvWifDURWEcpVthXYcU
879,11140,중구,서울,시니어,온누리상품권,2020,SOT056573,가맹점,통일상가,을지사,37.5689471,127.006924,37.55407301,126.9707021,ChIJqT85RCOjfDUReTPtIt08P7c
880,11140,중구,서울,시니어,온누리상품권,2020,SOT056574,가맹점,동평화시장,LA마마,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
881,11140,중구,서울,시니어,온누리상품권,2020,SOT056575,가맹점,삼익패션타운,타미나,37.5601669,126.9789819,37.55407301,126.9707021,ChIJjX0mi1-ifDURKxToYZqA7kg
882,11140,중구,서울,시니어,온누리상품권,2020,SOT056630,가맹점,신평화패션타운,샘물,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
883,11140,중구,서울,시니어,온누리상품권,2020,SOT056631,가맹점,신평화패션타운,대원스포츠,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
884,11140,중구,서울,시니어,온누리상품권,2020,SOT056632,가맹점,삼익패션타운,멋쟁이,37.5601849,126.9789816,37.55407301,126.9707021,ChIJvRDRQvSifDURGShIbVZOBqs
885,11140,중구,서울,시니어,온누리상품권,2020,SOT056633,가맹점,신평화패션타운,뉴명성,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
886,11140,중구,서울,시니어,온누리상품권,2020,SOT056634,가맹점,신평화패션타운,신가네,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
887,11140,중구,서울,시니어,온누리상품권,2020,SOT056635,가맹점,신평화패션타운,다비다,37.5694367,127.0115814,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
888,11140,중구,서울,시니어,온누리상품권,2020,SOT056636,가맹점,신평화패션타운,가데스,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
889,11140,중구,서울,시니어,온누리상품권,2020,SOT056637,가맹점,신평화패션타운,공신상회,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
890,11140,중구,서울,시니어,온누리상품권,2020,SOT056638,가맹점,신평화패션타운,뉴제원,37.5694367,127.0115814,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
891,11140,중구,서울,시니어,온누리상품권,2020,SOT056639,가맹점,신평화패션타운,루카,37.5694367,127.0115814,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
892,11140,중구,서울,시니어,온누리상품권,2020,SOT056640,가맹점,신평화패션타운,루디아,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
893,11140,중구,서울,시니어,온누리상품권,2020,SOT056641,가맹점,동평화시장,동광사,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
894,11140,중구,서울,시니어,온누리상품권,2020,SOT056642,가맹점,동평화시장,기린,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
895,11140,중구,서울,시니어,온누리상품권,2020,SOT056643,가맹점,남평화시장,코디야,37.5691692,127.0108378,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
896,11140,중구,서울,시니어,온누리상품권,2020,SOT056644,가맹점,신평화패션타운,메인즈,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
897,11140,중구,서울,시니어,온누리상품권,2020,SOT056645,가맹점,신평화패션타운,발리,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
898,11140,중구,서울,시니어,온누리상품권,2020,SOT056646,가맹점,신평화패션타운,예은,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
899,11140,중구,서울,시니어,온누리상품권,2020,SOT056647,가맹점,신평화패션타운,썬그린,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
900,11140,중구,서울,시니어,온누리상품권,2020,SOT056648,가맹점,신평화패션타운,해피,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
901,11140,중구,서울,시니어,온누리상품권,2020,SOT056649,가맹점,신평화패션타운,타고야,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
902,11140,중구,서울,시니어,온누리상품권,2020,SOT056650,가맹점,신평화패션타운,태형이네,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
903,11140,중구,서울,시니어,온누리상품권,2020,SOT056651,가맹점,신평화패션타운,소야,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
904,11140,중구,서울,시니어,온누리상품권,2020,SOT056654,가맹점,신평화패션타운,레페패션,37.5694367,127.0115814,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
905,11140,중구,서울,시니어,온누리상품권,2020,SOT056655,가맹점,남대문시장,에디슨,37.559219,126.9777271,37.55407301,126.9707021,ChIJjX0mi1-ifDURKxToYZqA7kg
906,11140,중구,서울,시니어,온누리상품권,2020,SOT056656,가맹점,신평화패션타운,성부사,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
907,11140,중구,서울,시니어,온누리상품권,2020,SOT056658,가맹점,신평화패션타운,토마토패션,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
908,11140,중구,서울,시니어,온누리상품권,2020,SOT056659,가맹점,신평화패션타운,크로바,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
909,11140,중구,서울,시니어,온누리상품권,2020,SOT056660,가맹점,신평화패션타운,리치모드,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
910,11140,중구,서울,시니어,온누리상품권,2020,SOT056661,가맹점,신평화패션타운,삼형사,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
911,11140,중구,서울,시니어,온누리상품권,2020,SOT056662,가맹점,남대문시장,쟝띠모아,37.5594668,126.9782444,37.55407301,126.9707021,ChIJjX0mi1-ifDURKxToYZqA7kg
912,11140,중구,서울,시니어,온누리상품권,2020,SOT056663,가맹점,신평화패션타운,수산나,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
913,11140,중구,서울,시니어,온누리상품권,2020,SOT056664,가맹점,신평화패션타운,진성,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
914,11140,중구,서울,시니어,온누리상품권,2020,SOT056665,가맹점,신평화패션타운,빅마마,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
915,11140,중구,서울,시니어,온누리상품권,2020,SOT056666,가맹점,신평화패션타운,루비,37.5694367,127.0115814,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
916,11140,중구,서울,시니어,온누리상품권,2020,SOT056719,가맹점,남대문시장,남풍전자,37.5592634,126.9766173,37.55407301,126.9707021,ChIJjX0mi1-ifDURKxToYZqA7kg
917,11140,중구,서울,시니어,온누리상품권,2020,SOT056731,가맹점,숭례문수입상가,대흥사,37.5594224,126.9762416,37.55407301,126.9707021,ChIJjX0mi1-ifDURKxToYZqA7kg
918,11140,중구,서울,시니어,온누리상품권,2020,SOT056737,가맹점,서울중앙시장,사랑마트,37.5664605,127.020982,37.55407301,126.9707021,ChIJgxd-xkejfDURLLZ_iXstWhw
919,11140,중구,서울,시니어,온누리상품권,2020,SOT056738,가맹점,남대문시장,와인하우스 ,37.559219,126.9777271,37.55407301,126.9707021,ChIJjX0mi1-ifDURKxToYZqA7kg
920,11140,중구,서울,시니어,온누리상품권,2020,SOT056790,가맹점,남대문시장,유유사,37.559219,126.9777271,37.55407301,126.9707021,ChIJjX0mi1-ifDURKxToYZqA7kg
921,11140,중구,서울,시니어,온누리상품권,2020,SOT056830,가맹점,남대문시장,비엔,37.5596838,126.978332,37.55407301,126.9707021,ChIJjX0mi1-ifDURKxToYZqA7kg
922,11140,중구,서울,시니어,온누리상품권,2020,SOT056831,가맹점,남대문시장,피치&스웨번,37.5601849,126.9789816,37.55407301,126.9707021,ChIJvRDRQvSifDURGShIbVZOBqs
923,11140,중구,서울,시니어,온누리상품권,2020,SOT056833,가맹점,인현시장,인현시장상인회,37.5638489,126.9954009,37.55407301,126.9707021,ChIJaWpNyxijfDUR9BWlKZW_LUM
924,11140,중구,서울,시니어,온누리상품권,2020,SOT056910,가맹점,남대문시장,진소사,37.559219,126.9777271,37.55407301,126.9707021,ChIJjX0mi1-ifDURKxToYZqA7kg
925,11140,중구,서울,시니어,온누리상품권,2020,SOT056946,가맹점,삼익패션타운,부흥사,37.5601669,126.9789819,37.55407301,126.9707021,ChIJjX0mi1-ifDURKxToYZqA7kg
926,11140,중구,서울,시니어,온누리상품권,2020,SOT056947,가맹점,삼익패션타운,주노옴므,37.5601669,126.9789819,37.55407301,126.9707021,ChIJjX0mi1-ifDURKxToYZqA7kg
